00:00.461  blend            | Read blend: "/Users/yl222/Desktop/UrbanWorldModelVisualizer/geometry_expansion/output/batch03_v1/master.blend"
10:10:25 | INFO: Data are loaded, start creating Blender stuff
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | brass door hardware.001
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | brick sills.001
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | continuous cut brick cornices.001
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | continuous roof edge flashing.001
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | corner brick pilasters.001
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | cut brick heads.001
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | door center stile.001
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | door leaves.001
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | door transom.001
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | entrance balcony balusters.001
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | entrance balcony handrail.001
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | entrance balcony slab.001
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | entry threshold.001
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | estimated northern hipped roof
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | exact concave roof deck.001
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | pierced brick walls.001
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | radiating brick arch.001
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | rear chimney cap
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | rear chimney stack
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | recessed sashes.001
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | segmental arch infill.001
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | small pane glazing bars.001
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | split brick pediments.001
10:10:25 | INFO: Blender create Mesh node 29 Exhibition Road | timber sash frames.001
10:10:25 | INFO: Blender create Mesh node 84 Kensington Gore | complete mapped roof base cap
10:10:25 | INFO: Blender create Mesh node 84 Kensington Gore | door glass fanlight
10:10:25 | INFO: Blender create Mesh node 84 Kensington Gore | door handle
10:10:25 | INFO: Blender create Mesh node 84 Kensington Gore | door transom
10:10:25 | INFO: Blender create Mesh node 84 Kensington Gore | fine sash bars
10:10:25 | INFO: Blender create Mesh node 84 Kensington Gore | flush storey trim
10:10:25 | INFO: Blender create Mesh node 84 Kensington Gore | four asymmetric saltbox roof slopes
10:10:25 | INFO: Blender create Mesh node 84 Kensington Gore | inward eaves fascia
10:10:25 | INFO: Blender create Mesh node 84 Kensington Gore | painted joinery
10:10:25 | INFO: Blender create Mesh node 84 Kensington Gore | pierced masonry
10:10:25 | INFO: Blender create Mesh node 84 Kensington Gore | pipe brackets
10:10:25 | INFO: Blender create Mesh node 84 Kensington Gore | projecting sills
10:10:25 | INFO: Blender create Mesh node 84 Kensington Gore | rainwater downpipes
10:10:25 | INFO: Blender create Mesh node 84 Kensington Gore | recessed door
10:10:25 | INFO: Blender create Mesh node 84 Kensington Gore | recessed glazing
10:10:25 | INFO: Blender create Mesh node 84 Kensington Gore | saltbox perimeter infill
10:10:25 | INFO: Blender create Mesh node 84 Kensington Gore | segmental brick arch heads
10:10:25 | INFO: Blender create Mesh node 84 Kensington Gore | threshold
10:10:25 | INFO: Blender create Mesh node 84 Kensington Gore | window mullions
10:10:25 | INFO: Blender create Mesh node 84 Kensington Gore | window transoms
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | attic sash frames
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | attic sash glazing
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | baluster necks
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | balustrade top rail
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | brass door hardware
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | brick sills
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | central balcony slab
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | central dormer back panels
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | central dormer glazing
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | central dormer joinery
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | central dormer lintels
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | central dormer side jambs
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | central linking roof
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | central stone balustrade
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | chimney corbel caps
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | chimney pots
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | continuous cut brick cornices
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | continuous roof edge flashing
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | corner brick pilasters
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | cut brick heads
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | door center stile
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | door leaves
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | door transom
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | entry threshold
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | exact concave roof deck
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | finite portico supporting slab
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | paired steep red tiled roofs
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | pierced brick walls
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | pierced triangular attic gables
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | portico arch spandrels
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | portico brick piers
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | portico pier capitals
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | radiating brick arch
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | recessed sashes
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | roof ridge tiles
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | segmental arch infill
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | small pane glazing bars
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | split brick pediments
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | tall chimney stacks
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | timber sash frames
10:10:25 | INFO: Blender create Mesh node Jamaican High Commission | twin portico brick arches
10:10:25 | INFO: Blender create Mesh node Jay Mews 117010283 | concave roof membrane
10:10:25 | INFO: Blender create Mesh node Jay Mews 117010283 | door glass fanlight
10:10:25 | INFO: Blender create Mesh node Jay Mews 117010283 | door handle
10:10:25 | INFO: Blender create Mesh node Jay Mews 117010283 | door transom
10:10:25 | INFO: Blender create Mesh node Jay Mews 117010283 | fine sash bars
10:10:25 | INFO: Blender create Mesh node Jay Mews 117010283 | lintels
10:10:25 | INFO: Blender create Mesh node Jay Mews 117010283 | low parapet
10:10:25 | INFO: Blender create Mesh node Jay Mews 117010283 | mitred coping
10:10:25 | INFO: Blender create Mesh node Jay Mews 117010283 | painted joinery
10:10:25 | INFO: Blender create Mesh node Jay Mews 117010283 | pierced masonry
10:10:25 | INFO: Blender create Mesh node Jay Mews 117010283 | pipe brackets
10:10:25 | INFO: Blender create Mesh node Jay Mews 117010283 | projecting sills
10:10:25 | INFO: Blender create Mesh node Jay Mews 117010283 | projecting storey ledge
10:10:25 | INFO: Blender create Mesh node Jay Mews 117010283 | rainwater downpipes
10:10:25 | INFO: Blender create Mesh node Jay Mews 117010283 | recessed door
10:10:25 | INFO: Blender create Mesh node Jay Mews 117010283 | recessed glazing
10:10:25 | INFO: Blender create Mesh node Jay Mews 117010283 | simple eaves
10:10:25 | INFO: Blender create Mesh node Jay Mews 117010283 | threshold
10:10:25 | INFO: Blender create Mesh node Jay Mews 117010283 | window mullions
10:10:25 | INFO: Blender create Mesh node Jay Mews 117010283 | window transoms
10:10:25 | INFO: glTF import finished in 0.15s
{"passed": true, "buildings": [{"building_id": "way-641757059", "entrances": [{"threshold_xyz": [836.927978515625, 15.45278549194336, 0.04954460263252258], "rays": 25, "checked_width_m": 0.9900283162510799}], "shared_wall_samples": 20, "roof_coverage_samples": 144, "footprint_area_m2": 258.235771127092}, {"building_id": "way-641603104", "entrances": [{"threshold_xyz": [841.502197265625, -8.50257682800293, 0.049673404544591904], "rays": 25, "checked_width_m": 0.9906177658381814}], "shared_wall_samples": 20, "roof_coverage_samples": 201, "footprint_area_m2": 350.1393480371866}, {"building_id": "way-117010283", "entrances": [{"threshold_xyz": [529.2682495117188, -3.0918076038360596, 0.04962729290127754], "rays": 25, "checked_width_m": 0.9899005026334347}], "shared_wall_samples": 40, "roof_coverage_samples": 48, "footprint_area_m2": 93.66367109226623}, {"building_id": "way-492431542", "entrances": [{"threshold_xyz": [799.4083862304688, 5.906059741973877, 0.05043443664908409], "rays": 25, "checked_width_m": 0.9907371278719406}], "shared_wall_samples": 40, "roof_coverage_samples": 74, "footprint_area_m2": 142.8831766787796}], "material_values_roundtrip_passed": true, "master_sha256": "f9a96020b56155158133735a00182b0830f85537207d6588ccce432afeab0c95", "replacement_sha256": "4498dbd5a5d58a7769455c0bcd2fafff67545fb164675510aa0a9f93d13d4e45", "scope": "Exterior entry clearance before intentionally closed door assemblies, sampled mapped roof coverage and PBR round-trip. Not a survey or accessibility certification."}
Blender 5.2.0 LTS (hash fbe6228777e7 built 2026-07-14 01:31:22)

Blender quit
