00:01.703  blend            | Read blend: "/Users/yl222/Desktop/UrbanWorldModelVisualizer/geometry_expansion/output/batch09_v1/master.blend"
12:10:39 | INFO: Data are loaded, start creating Blender stuff
12:10:39 | INFO: Blender create Mesh node finite entry approach from audited ground.001
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | complete concave roof deck
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | complete inset mansard top
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | door central stile
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | door hardware
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | entrance leaves
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | entry transom
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | flush threshold
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | hood console blocks
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | mansard curved head solid closure
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | mansard dormer closed back
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | mansard dormer closed cheeks
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | mansard dormer closed top
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | mansard dormer lower apron
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | mansard dormer upright frames
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | mansard recessed glazing
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | mansard rounded arch frames
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | mansard sash mullion
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | mansard sash transom
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | moulded window hood
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | observed mansard sloping skin
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | painted sash frames
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | pierced stucco elevations
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | plain brick plinth
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | plain eaves and floor course
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | recessed townhouse sash glazing
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | sash glazing bars
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | sash meeting rails
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | single tower corner parapet pier
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | stone entrance entablature
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | stone entrance jambs
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | stone parapet coping
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | stone window sills
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | stucco attic parapet
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | tower arch spandrels
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | tower closed flat roof
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | tower corner pilasters
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | tower layered cornice
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | tower parapet balusters
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | tower parapet handrail
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | tower parapet solid plinth
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | tower pierced upper walls
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | tower recessed arched glazing
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | tower rounded window heads
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | tower window jamb trim
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | tower window sill
12:10:39 | INFO: Blender create Mesh node 1 Hyde Park Gate | window architrave sides
12:10:39 | INFO: Blender create Mesh node finite porch support.001
12:10:39 | INFO: Blender create Mesh node finite entry approach from audited ground.002
12:10:39 | INFO: Blender create Mesh node 1–2 Queens Gate | arched window solid spandrels
12:10:39 | INFO: Blender create Mesh node 1–2 Queens Gate | balcony turned balusters
12:10:39 | INFO: Blender create Mesh node 1–2 Queens Gate | balustrade handrail
12:10:39 | INFO: Blender create Mesh node 1–2 Queens Gate | complete concave roof deck
12:10:39 | INFO: Blender create Mesh node 1–2 Queens Gate | door central stile
12:10:39 | INFO: Blender create Mesh node 1–2 Queens Gate | door hardware
12:10:39 | INFO: Blender create Mesh node 1–2 Queens Gate | Doric portico plinth
12:10:39 | INFO: Blender create Mesh node 1–2 Queens Gate | Doric square abacus
12:10:39 | INFO: Blender create Mesh node 1–2 Queens Gate | entrance leaves
12:10:39 | INFO: Blender create Mesh node 1–2 Queens Gate | entry transom
12:10:39 | INFO: Blender create Mesh node 1–2 Queens Gate | flush threshold
12:10:39 | INFO: Blender create Mesh node 1–2 Queens Gate | hood console blocks
12:10:39 | INFO: Blender create Mesh node 1–2 Queens Gate | moulded window hood
12:10:39 | INFO: Blender create Mesh node 1–2 Queens Gate | painted sash frames
12:10:39 | INFO: Blender create Mesh node 1–2 Queens Gate | paired Doric entrance columns
12:10:39 | INFO: Blender create Mesh node 1–2 Queens Gate | pierced stucco elevations
12:10:39 | INFO: Blender create Mesh node 1–2 Queens Gate | plain brick plinth
12:10:39 | INFO: Blender create Mesh node 1–2 Queens Gate | plain eaves and floor course
12:10:39 | INFO: Blender create Mesh node 1–2 Queens Gate | portico entablature closed canopy
