00:00.494  blend            | Read blend: "/Users/yl222/Desktop/UrbanWorldModelVisualizer/geometry_expansion/output/batch10_v1/master.blend"
12:14:16 | INFO: Data are loaded, start creating Blender stuff
12:14:16 | INFO: Blender create Mesh node finite entry approach from audited ground
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | arched window solid spandrels
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | complete concave roof deck
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | door central stile
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | door hardware
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | entrance leaves
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | entry transom
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | flush threshold
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | hood console blocks
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | moulded window hood
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | painted sash frames
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | pierced stucco elevations
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | plain brick plinth
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | plain eaves and floor course
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | recessed townhouse sash glazing
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | sash glazing bars
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | sash meeting rails
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | stone entrance entablature
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | stone entrance jambs
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | stone parapet coping
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | stone window sills
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | street balcony balusters
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | street balcony rails
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | street first floor balcony slab
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | street order base mouldings
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | street order capital abaci
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | street order pilaster shafts
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | stucco attic parapet
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | third floor curved arch surrounds
12:14:16 | INFO: Blender create Mesh node 3 Queens Gate | window architrave sides
12:14:16 | INFO: Blender create Mesh node finite entry approach from audited ground.001
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | arched frame
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | arched window spandrel
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | balcony balusters
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | balcony upper rail
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | concave roof membrane
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | door glass fanlight
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | door handle
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | door transom
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | first floor balcony deck
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | flush floor course
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | inward eaves
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | lintels
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | low parapet
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | middle storey pilasters
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | mitred coping
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | painted joinery
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | pierced masonry
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | projecting sills
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | recessed arched glazing
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | recessed door
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | recessed glazing
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | simplified capitals
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | street cornice
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | threshold
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | upper sash meeting rail
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | window mullions
12:14:16 | INFO: Blender create Mesh node 4 Queens Gate | window transoms
12:14:16 | INFO: Blender create Mesh node finite entry approach from audited ground.002
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | continuous mitred intermediate sill course
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | continuous mitred modest eaves
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | deep inset glazing
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | deep projecting stone sill
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | door head frame
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | door jamb
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | door transom frame
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | door transom glazing
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | entrance stone jamb surround
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | estimated rear rainwater pipe
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | full concave roof surface
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | full thickness masonry piers
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | ground transom rail
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | inset door panels
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | painted entrance leaf
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | pipe fixing collars
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | recessed window bottom sash
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | recessed window outer sash
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | roof upstand excluding attached edge4
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | segmented low plinth
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | simple entrance lintel
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | simple stone window lintel
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | soldier-course header blocks
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | solid wall lintels
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | stone coping excluding attached edge4
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | tripartite mews casement mullions
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | upper sash glazing bars
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | upper sash meeting rail
12:14:16 | INFO: Blender create Mesh node 24a Queens Gate Mews | wall below recessed apertures
12:14:16 | INFO: glTF import finished in 0.09s
