00:00.418  blend            | Read blend: "/Users/yl222/Desktop/UrbanWorldModelVisualizer/geometry_expansion/output/batch17_v1/master.blend"
15:51:21 | INFO: Data are loaded, start creating Blender stuff
15:51:21 | INFO: Blender create Mesh node finite porch support.001
15:51:21 | INFO: Blender create Mesh node finite entry approach from audited ground.002
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | arched frame
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | arched window spandrel
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | balcony balusters
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | balcony upper rail
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | complete mapped roof basecap
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | concave roof membrane
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | door glass fanlight
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | door handle
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | door transom
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | Doric column abaci
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | Doric column square plinths
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | first floor balcony deck
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | flush floor course
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | individual window consoles
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | inward eaves
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | lintels
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | low parapet
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | middle storey pilasters
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | mitred coping
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | painted joinery
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | pierced masonry
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | projecting portico architrave
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | projecting portico cornice
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | projecting sills
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | recessed arched glazing
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | recessed door
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | recessed glazing
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | simplified capitals
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | street cornice
15:51:21 | INFO: Blender create Mesh node 7 Queens Gate | tapered Doric shafts and echinus
