00:00.410  blend            | Read blend: "/Users/yl222/Desktop/UrbanWorldModelVisualizer/geometry_expansion/output/batch18_v1/master.blend"
16:15:25 | INFO: Data are loaded, start creating Blender stuff
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | closed upper roof slab
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | complete six point original footprint deck
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | contained continuous mitred eaves
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | deep inset glazing
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | deep projecting stone sill
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | door head frame
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | door jamb
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | door transom frame
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | door transom glazing
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | entrance stone jamb surround
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | estimated rear rainwater pipe
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | front and rear intermediate course
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | ground transom rail
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | inset door panels
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | inset upper tier recessed glazing
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | inset upper tier solid walls
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | painted entrance leaf
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | pierced wall piers
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | pipe fixing collars
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | recessed window bottom sash
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | recessed window outer sash
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | segmented low plinth
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | simple entrance lintel
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | simple stone window lintel
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | soldier-course header blocks
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | solid wall lintels
16:15:25 | INFO: Blender create Mesh node finite entry approach from audited ground
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | tripartite mews casement mullions
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | upper sash glazing bars
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | upper sash meeting rail
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | upper window head sill frames
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | upper window meeting rail
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | upper window stiles
16:15:25 | INFO: Blender create Mesh node 4 Princes Gate Mews | wall below recessed apertures
16:15:25 | INFO: Blender create Mesh node finite entry approach from audited ground.002
16:15:25 | INFO: Blender create Mesh node 8 Queens Gate Place Mews | corner brick piers
16:15:25 | INFO: Blender create Mesh node 8 Queens Gate Place Mews | door glass fanlight
16:15:25 | INFO: Blender create Mesh node 8 Queens Gate Place Mews | door handle
16:15:25 | INFO: Blender create Mesh node 8 Queens Gate Place Mews | door transom
16:15:25 | INFO: Blender create Mesh node 8 Queens Gate Place Mews | estimated flat roof membrane
16:15:25 | INFO: Blender create Mesh node 8 Queens Gate Place Mews | frame head
16:15:25 | INFO: Blender create Mesh node 8 Queens Gate Place Mews | frame jambs
16:15:25 | INFO: Blender create Mesh node 8 Queens Gate Place Mews | frame sill rail
16:15:25 | INFO: Blender create Mesh node 8 Queens Gate Place Mews | front rear eaves
16:15:25 | INFO: Blender create Mesh node 8 Queens Gate Place Mews | full polygon roof basecap
16:15:25 | INFO: Blender create Mesh node 8 Queens Gate Place Mews | inward parapet
16:15:25 | INFO: Blender create Mesh node 8 Queens Gate Place Mews | lintels
16:15:25 | INFO: Blender create Mesh node 8 Queens Gate Place Mews | pierced masonry
16:15:25 | INFO: Blender create Mesh node 8 Queens Gate Place Mews | plain first floor stringcourse
16:15:25 | INFO: Blender create Mesh node 8 Queens Gate Place Mews | projecting sills
16:15:25 | INFO: Blender create Mesh node 8 Queens Gate Place Mews | recessed door
16:15:25 | INFO: Blender create Mesh node 8 Queens Gate Place Mews | recessed glazing
16:15:25 | INFO: Blender create Mesh node 8 Queens Gate Place Mews | sash meeting rail
16:15:25 | INFO: Blender create Mesh node 8 Queens Gate Place Mews | small brick eaves dentils
16:15:25 | INFO: Blender create Mesh node 8 Queens Gate Place Mews | threshold
16:15:25 | INFO: Blender create Mesh node 8 Queens Gate Place Mews | upper sash vertical bar
16:15:25 | INFO: Blender create Mesh node finite entry approach from audited ground.001
16:15:25 | INFO: Blender create Mesh node 20 Queen’s Gate Place Mews | complete four-point roof base deck
16:15:25 | INFO: Blender create Mesh node 20 Queen’s Gate Place Mews | contained mansard continuous slopes
16:15:25 | INFO: Blender create Mesh node 20 Queen’s Gate Place Mews | door hardware
16:15:25 | INFO: Blender create Mesh node 20 Queen’s Gate Place Mews | door recessed lower panel
16:15:25 | INFO: Blender create Mesh node 20 Queen’s Gate Place Mews | door recessed upper panel
16:15:25 | INFO: Blender create Mesh node 20 Queen’s Gate Place Mews | entrance leaves
16:15:25 | INFO: Blender create Mesh node 20 Queen’s Gate Place Mews | entry transom
16:15:25 | INFO: Blender create Mesh node 20 Queen’s Gate Place Mews | flush threshold
16:15:25 | INFO: Blender create Mesh node 20 Queen’s Gate Place Mews | mansard complete upper cap
16:15:25 | INFO: Blender create Mesh node 20 Queen’s Gate Place Mews | painted sash frames
16:15:25 | INFO: Blender create Mesh node 20 Queen’s Gate Place Mews | paired window center mullions
16:15:25 | INFO: Blender create Mesh node 20 Queen’s Gate Place Mews | pierced muted masonry facades
