00:00.635  blend            | Read blend: "/Users/yl222/Desktop/UrbanWorldModelVisualizer/geometry_expansion/output/batch19_v1/master.blend"
16:46:47 | INFO: Data are loaded, start creating Blender stuff
16:46:47 | INFO: Blender create Mesh node 1 Montrose Court | complete original five point roof deck
16:46:48 | INFO: Blender create Mesh node 1 Montrose Court | contained continuous mitred eaves
16:46:48 | INFO: Blender create Mesh node 1 Montrose Court | contained simple sill
16:46:48 | INFO: Blender create Mesh node 1 Montrose Court | deep inset glazing
16:46:48 | INFO: Blender create Mesh node 1 Montrose Court | door head frame
16:46:48 | INFO: Blender create Mesh node 1 Montrose Court | door jamb
16:46:48 | INFO: Blender create Mesh node 1 Montrose Court | entrance jamb surround
16:46:48 | INFO: Blender create Mesh node 1 Montrose Court | entry pull handle
16:46:48 | INFO: Blender create Mesh node 1 Montrose Court | estimated rear rainwater pipe
16:46:48 | INFO: Blender create Mesh node 1 Montrose Court | free edge contained low roof rim
16:46:48 | INFO: Blender create Mesh node 1 Montrose Court | free edge contained roof coping
16:46:48 | INFO: Blender create Mesh node 1 Montrose Court | front and rear intermediate course
16:46:48 | INFO: Blender create Mesh node 1 Montrose Court | modern asymmetrical casement stile
16:46:48 | INFO: Blender create Mesh node 1 Montrose Court | painted entrance leaf
16:46:48 | INFO: Blender create Mesh node 1 Montrose Court | pierced wall piers
16:46:48 | INFO: Blender create Mesh node 1 Montrose Court | pipe fixing collars
16:46:48 | INFO: Blender create Mesh node 1 Montrose Court | plain entrance vertical infill
16:46:48 | INFO: Blender create Mesh node 1 Montrose Court | recessed window bottom sash
16:46:48 | INFO: Blender create Mesh node 1 Montrose Court | recessed window outer sash
16:46:48 | INFO: Blender create Mesh node 1 Montrose Court | segmented low plinth
16:46:48 | INFO: Blender create Mesh node 1 Montrose Court | simple entrance head surround
16:46:48 | INFO: Blender create Mesh node 1 Montrose Court | solid wall lintels
16:46:48 | INFO: Blender create Mesh node finite entry approach from audited ground
16:46:48 | INFO: Blender create Mesh node 1 Montrose Court | wall below recessed apertures
16:46:48 | INFO: Blender create Mesh node finite additional entry support
16:46:48 | INFO: Blender create Mesh node finite porch support.001
16:46:48 | INFO: Blender create Mesh node finite entry approach from audited ground.002
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | arched frame
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | arched window spandrel
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | balcony balusters
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | balcony upper rail
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | complete mapped roof basecap
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | concave roof membrane
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | door glass fanlight
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | door handle
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | door transom
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | Doric column abaci
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | Doric column square plinths
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | first floor balcony deck
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | flush floor course
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | individual window consoles
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | inward eaves
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | lintels
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | low parapet
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | middle storey pilasters
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | mitred coping
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | painted joinery
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | pierced masonry
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | projecting portico architrave
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | projecting portico cornice
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | projecting sills
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | recessed arched glazing
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | recessed door
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | recessed glazing
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | simplified capitals
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | street cornice
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | tapered Doric shafts and echinus
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | threshold
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | upper cornice consoles
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | upper sash meeting rail
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | window mullions
16:46:48 | INFO: Blender create Mesh node 8 Queens Gate | window transoms
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | capital leaf blocks
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | central triangular pediment
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | complete four-point roof deck
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | continuous stone balcony deck
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | continuous stone balcony handrail
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | Corinthian pilaster shafts
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | Corinthian simplified capitals
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | Corinthian simplified pilaster bases
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | door hardware
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | door recessed lower panel
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | door recessed upper panel
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | entrance leaves
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | entry transom
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | first order window entablature
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | flush threshold
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | ground rustication arrises
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | Ionic capital volutes
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | Ionic porch abacus
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | Ionic porch entablature
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | Ionic porch plinth
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | Ionic porch shafts
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | low hidden roof parapet
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | painted sash frames
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | pierced muted masonry facades
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | plain brick plinth
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | plain eaves and floor course
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | plain entrance jambs
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | plain entrance lintel
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | plain fifth-storey front cornice
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | plain sash mullions
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | plain sash transoms
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | recessed townhouse sash glazing
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | second-floor window hood
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | shallow parapet coping
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | short fifth tier lower stringcourse
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | short fifth tier upper cornice lip
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | stone balcony end piers
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | stone turned balcony balusters
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | stone window sills
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | subtle brick headers
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | upper Juliet top rail
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | upper Juliet vertical bars
16:46:48 | INFO: Blender create Mesh node 23 Princes Gate (historic school) | window entablature dentils
16:46:48 | INFO: Blender create Mesh node finite porch support
16:46:48 | INFO: Blender create Mesh node finite entry approach from audited ground.001
16:46:48 | INFO: glTF import finished in 0.09s
